organism,C/N,N/P,DO avg,cumulative aeration,Acetate,Propionate,N_Ax-2
Aeromonas,-0.565,0.7995,-0.9372,-0.9965,-0.878,0.9024,-0.9905
Azospira,0.9032,-0.3891,0.6349,0.8194,0.9996,-0.9967,0.9254
Ca_Accumulibacter,-0.5438,0.8145,-0.9458,-0.9983,-0.8655,0.8911,-0.9866
Ca_Caldilinea,-0.5186,0.8314,-0.9551,-0.9996,-0.8502,0.8772,-0.9813
Ca_Competibacter,0.925,-0.3391,0.5925,0.7874,0.9967,-0.9909,0.9038
Ca_Leptovillus,-0.4409,0.8773,-0.9776,-0.9982,-0.8003,0.8312,-0.9605
Ca_Sarcinithrix,-0.729,0.6518,-0.8405,-0.9553,-0.9603,0.9739,-0.9969
Cloacibacterium,0.4495,-0.8727,0.9755,0.9987,0.806,-0.8366,0.9631
Denitratisoma,0.9637,0.309,-0.026,0.244,0.7375,-0.7003,0.4515
Dokdonella,0.9863,-0.1215,0.3987,0.6307,0.9537,-0.9363,0.7861
Gemmobacter,0.5249,-0.8273,0.9529,0.9994,0.854,-0.8807,0.9827
Holophagae,-0.8912,0.4141,-0.6558,-0.8347,-1.0,0.9986,-0.9355
Hydrogenophaga,0.791,-0.5765,0.785,0.9228,0.9825,-0.9911,0.985
Ignavibacteria,-0.1663,0.9778,-0.997,-0.9395,-0.5957,0.6379,-0.841
Lysobacter,-0.0897,0.9911,-0.9881,-0.9103,-0.532,0.5766,-0.7968
Pseudoxanthomonas,0.6032,-0.7703,0.9198,0.9915,0.8995,-0.9217,0.9959
Rhizobiales,-0.8302,0.5205,-0.7417,-0.8948,-0.9928,0.9978,-0.9711
Rhodoplanes,-0.7322,0.6483,-0.838,-0.9539,-0.9616,0.9749,-0.9966
Rhodothermaceae,-0.725,0.6562,-0.8436,-0.957,-0.9586,0.9725,-0.9974
Sediminibacterium,0.3931,-0.9014,0.9873,0.9936,0.7676,-0.8009,0.9445
Thauera,0.4387,-0.8785,0.9781,0.998,0.7988,-0.8299,0.9598
Zoogloea,0.4352,-0.8804,0.9789,0.9978,0.7964,-0.8277,0.9587
alphaI_cluster,-0.8169,0.5404,-0.7573,-0.9051,-0.9897,0.9959,-0.9765
