organism,peak N2O,specific denitrification rate,N removal,P removal,denitrifying P-uptake rate,anoxic:aerobic P-uptake ratio
Aeromonas,0.9961,0.2615,0.8156,0.9254,0.4652,0.9673
Azospira,0.0243,-0.9296,-0.4829,-0.2722,-0.8271,-0.1428
Ca_Accumulibacter,0.64,0.9423,0.9401,0.8385,0.9926,0.7593
Ca_Caldilinea,0.6502,0.9378,0.9445,0.8457,0.9909,0.7679
Ca_Competibacter,0.0537,-0.9183,-0.4569,-0.2437,-0.8102,-0.1136
Ca_Leptovillus,0.7303,0.8936,0.9751,0.8996,0.9698,0.8341
Ca_Sarcinithrix,0.4439,0.9943,0.835,0.6889,0.9937,0.5872
Cloacibacterium,-0.7332,-0.8917,-0.976,-0.9014,-0.9688,-0.8364
Denitratisoma,0.6395,-0.5001,0.1648,0.3838,-0.2997,0.5023
Dokdonella,-0.2524,-0.9952,-0.7057,-0.5271,-0.95,-0.4103
Gemmobacter,-0.663,-0.9318,-0.9499,-0.8546,-0.9884,-0.7786
Holophagae,0.2824,0.9978,0.7274,0.5533,0.9593,0.4385
Hydrogenophaga,-0.4629,-0.9918,-0.8466,-0.7042,-0.9958,-0.6043
Ignavibacteria,0.8986,0.7226,0.9973,0.9881,0.8557,0.9592
Lysobacter,0.9183,0.6892,0.9927,0.9943,0.8303,0.9715
Pseudoxanthomonas,-0.5973,-0.9591,-0.9201,-0.8076,-0.9977,-0.7227
Rhizobiales,0.3286,0.9998,0.7599,0.5931,0.9719,0.4816
Rhodoplanes,0.4457,0.9941,0.8361,0.6903,0.9939,0.5888
Rhodothermaceae,0.4314,0.9957,0.8273,0.6787,0.992,0.5759
Sediminibacterium,-0.7741,-0.8618,-0.9877,-0.9266,-0.9515,-0.8689
Thauera,-0.7402,-0.887,-0.9782,-0.9058,-0.9662,-0.842
Zoogloea,-0.7503,-0.8799,-0.9812,-0.9121,-0.9622,-0.8501
alphaI_cluster,0.3432,1.0,0.7698,0.6054,0.9754,0.4951
