organism,functional_category,CAP1,CAP2,louvain_module,kmeans_module,in_prev_top10
Aeromonas,,0.0647,-0.0205,1,2,True
Azospira,,-0.2418,-0.1468,1,1,True
Ca_Competibacter,GAOs,-0.2744,-0.1611,1,1,True
Denitratisoma,,-0.0962,-0.2489,1,1,True
Dokdonella,,-0.0969,-0.0944,1,1,True
Hydrogenophaga,,-0.0895,-0.0381,1,1,True
Pseudoxanthomonas,,-0.4551,-0.0043,1,1,True
Sediminibacterium,,-0.5379,0.1329,1,1,True
Thauera,Putative GAOs,-0.6076,0.1134,1,1,True
Zoogloea,Putative PAOs,-0.5328,0.1055,1,1,True
midas_g_428,,-0.5649,0.1341,1,1,True
Lysobacter,,0.2777,-0.1854,2,2,True
midas_g_12887,,0.4157,-0.0359,2,2,True
midas_g_171,,0.2769,-0.2347,2,2,True
midas_g_36422,,0.2612,-0.13,2,2,True
midas_g_41804,,0.1386,-0.1144,2,2,True
midas_g_61007,,0.2298,-0.1372,2,2,True
midas_g_8672,,0.3494,-0.0774,2,2,True
Ca_Accumulibacter,PAOs,0.5053,-0.0347,3,2,True
Ca_Caldilinea,,0.4227,-0.0333,3,2,True
Ca_Sarcinithrix,,0.4925,0.1108,3,2,True
Rhodoplanes,,0.5063,0.1172,3,2,True
alphaI_cluster,,0.4484,0.1685,3,2,True
midas_g_2019,,0.3877,0.0657,3,2,True
midas_g_26667,,0.3821,0.1026,3,2,True
midas_g_31688,,0.4018,0.156,3,2,True
midas_g_3943,,0.2986,0.1346,3,2,True
midas_g_71310,,0.4205,0.0293,3,2,True
midas_g_973,,0.2021,0.1165,3,2,True
